Kode,Sektor,Sub Sektor
SDMU,Transportasi & Logistik,Logistik darat
GOLL,Barang Konsumen Primer,Barang Konsumen Primer
ALKA,Barang Baku,Barang Baku
AGRS,Keuangan,Keuangan
TARA,Properti & Real Estat,Properti & Real Estat
RONY,Infrastruktur,Konstruksi & Utilitas
PCAR,Barang Konsumen Primer,Barang Konsumen Primer
KKGI,Energi,Energi
BISI,Barang Konsumen Primer,Barang Konsumen Primer
ROTI,Barang Konsumen Primer,Barang Konsumen Primer
KEJU,Barang Konsumen Primer,Barang Konsumen Primer
ARGO,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
RANS,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
BCAP,Keuangan,Keuangan
CBRE,Energi,Logistik Laut
MPOW,Infrastruktur,Infrastruktur
SMDR,Transportasi & Logistik,Logistik Laut
IIKP,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
DIVA,Teknologi,Teknologi
ASLI,Infrastruktur,Infrastruktur
MERK,Kesehatan,Kesehatan
RODA,Properti & Real Estat,Properti & Real Estat
ARKA,Perindustrian,Perindustrian
CASH,Teknologi,Fintech
AGRO,Keuangan,Keuangan
DART,Properti & Real Estat,Properti & Real Estat
COWL,Properti & Real Estat,Properti & Real Estat
IMPC,Perindustrian,Bahan bangunan
INCI,Barang Baku,Produsen bahan kimia
GEMA,Barang Konsumen Non-Primer,Furniture
WTON,Barang Baku,Konstruksi
SAGE,Properti & Real Estat,Properti & Real Estat
EKAD,Barang Baku,Barang Baku
CDIA,Barang Baku,Logistik Laut
OMRE,Properti & Real Estat,Properti & Real Estat
DKHH,Kesehatan,Kesehatan
ATIC,Teknologi,Teknologi
SMIL,Perindustrian,Perindustrian
PPRO,Properti & Real Estat,Properti & Real Estat
CNMA,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
SRAJ,Kesehatan,Kesehatan
JSKY,Energi,Energi
VAST,Properti & Real Estat,Persewaan properti
SWAT,Barang Baku,Barang Baku
TOBA,Energi,Energi
KAQI,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
AKSI,Transportasi & Logistik,Transportasi & Logistik
DLTA,Barang Konsumen Primer,Barang Konsumen Primer
CEKA,Barang Konsumen Primer,Barang Konsumen Primer
SKBM,Barang Konsumen Primer,Barang Konsumen Primer
NASI,Barang Konsumen Primer,Barang Konsumen Primer
LAPD,Infrastruktur,Infrastruktur
GRIA,Properti & Real Estat,Properti & Real Estat
PICO,Barang Baku,Produsen alat industri
BIMA,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
APIC,Keuangan,Keuangan
DVLA,Kesehatan,Kesehatan
NIKL,Barang Baku,Pengolahan timah
PTBA,Energi,Energi
NOBU,Keuangan,Keuangan
UNTD,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
MPRO,Properti & Real Estat,Properti
ISAT,Infrastruktur,Telekomunikasi
AMAR,Keuangan,Keuangan
CINT,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
KETR,Infrastruktur,Infrastruktur
SGRO,Keuangan,Keuangan
LSIP,Barang Konsumen Primer,Perkebunan Sawit
BPTR,Transportasi & Logistik,Transportasi & Logistik
JECX,Kesehatan,Kesehatan
IDPR,Infrastruktur,Infrastruktur
MIRA,Transportasi & Logistik,Transportasi & Logistik
BMHS,Kesehatan,Kesehatan
TOPS,Infrastruktur,Infrastruktur
CHIP,Teknologi,Teknologi
SOFA,Barang Konsumen Non-Primer,Furniture
IKPM,Kesehatan,Kesehatan
COIN,Keuangan,Fintech
SPTO,Perindustrian,Perindustrian
KIAS,Perindustrian,Perindustrian
BTPN,Keuangan,Keuangan
JECC,Perindustrian,Perindustrian
SMGR,Barang Baku,Barang Baku
KMTR,Barang Baku,Barang Baku
CARE,Kesehatan,Kesehatan
BABY,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
POLL,Properti & Real Estat,Properti & Real Estat
GULA,Barang Konsumen Primer,Barang Konsumen Primer
IKAI,Perindustrian,Perindustrian
BBLD,Keuangan,Keuangan
BSIM,Keuangan,Keuangan
KRAS,Barang Baku,Barang Baku
BCIC,Keuangan,Keuangan
MDIA,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
INET,Infrastruktur,Data center
TIRA,Perindustrian,Perindustrian
PYFA,Kesehatan,Kesehatan
KDSI,Barang Baku,Barang Baku
INCF,Barang Baku,Barang Baku
MSTI,Teknologi,Teknologi
SEMA,Energi,Energi
RAAM,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
SCNP,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
SKYB,Teknologi,Teknologi
JAYA,Transportasi & Logistik,Transportasi & Logistik
WINE,Barang Konsumen Primer,Produsen miras
BOLA,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
ACRO,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
TBIG,Infrastruktur,Infrastruktur Telekomunikasi
FORU,Barang Konsumen Non-Primer,Media
CPIN,Barang Konsumen Primer,Produsen Pangan / pakan
GHON,Infrastruktur,Infrastruktur
SINI,Perindustrian,Perindustrian
MLIA,Perindustrian,Perindustrian
WSKT,Infrastruktur,Infrastruktur
BAYU,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
DSSA,Energi,Data center
ASHA,Barang Konsumen Primer,Barang Konsumen Primer
ASJT,Keuangan,Keuangan
SQMI,Barang Baku,Barang Baku
KRAH,Perindustrian,Perindustrian
HRME,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
FISH,Barang Konsumen Primer,Pengolahan ikan
CAKK,Perindustrian,Perindustrian
PTPP,Infrastruktur,Konstruksi
GGRM,Barang Konsumen Primer,Barang Konsumen Primer
NICE,Barang Baku,Tambang Nikel
BEST,Properti & Real Estat,Properti
MNCN,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
TAMA,Infrastruktur,Konstruksi sipil
INDS,Barang Konsumen Non-Primer,Produsen Suku Cadang Otomotif
NAYZ,Barang Konsumen Primer,Barang Konsumen Primer
DPNS,Barang Baku,Barang Baku
SCPI,Kesehatan,Kesehatan
SMRU,Energi,Energi
SOSS,Perindustrian,Perindustrian
UNVR,Barang Konsumen Primer,Barang Konsumen Primer
ARTA,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
KBRI,Barang Baku,Barang Baku
BSSR,Energi,Energi
EMTK,Teknologi,Media
MTLA,Properti & Real Estat,Properti & Real Estat
